Week,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,"49,1477","0,0379","1,8627","43,4","44,8","45,6","46,1","46,8","47,2","47,9","49,1","50,4","51,1","51,5","52,2","52,7","53,5","54,9"
1,1,"50,3298","0,03742","1,8833","44,5","45,9","46,8","47,2","47,9","48,4","49,1","50,3","51,6","52,3","52,7","53,4","53,9","54,7","56,1"
2,1,"51,512","0,03694","1,9029","45,6","47,1","47,9","48,4","49,1","49,5","50,2","51,5","52,8","53,5",54,"54,6","55,1","55,9","57,4"
3,1,"52,4695","0,03669","1,9251","46,5",48,"48,8","49,3",50,"50,5","51,2","52,5","53,8","54,5","54,9","55,6","56,1","56,9","58,4"
4,1,"53,3809","0,03647","1,9468","47,4","48,9","49,7","50,2","50,9","51,4","52,1","53,4","54,7","55,4","55,9","56,6",57,"57,9","59,4"
5,1,"54,2454","0,03627","1,9675","48,2","49,7","50,5",51,"51,7","52,2","52,9","54,2","55,6","56,3","56,8","57,5","57,9","58,8","60,3"
6,1,"55,0642","0,03609","1,9873","48,9","50,4","51,3","51,8","52,5",53,"53,7","55,1","56,4","57,1","57,6","58,3","58,8","59,7","61,2"
7,1,"55,8406","0,03593","2,0064","49,6","51,2","52,1","52,5","53,3","53,8","54,5","55,8","57,2","57,9","58,4","59,1","59,6","60,5",62
8,1,"56,5767","0,03578","2,0243","50,3","51,9","52,8","53,2",54,"54,5","55,2","56,6","57,9","58,7","59,2","59,9","60,4","61,3","62,8"
9,1,"57,2761","0,03564","2,0413",51,"52,5","53,4","53,9","54,7","55,2","55,9","57,3","58,7","59,4","59,9","60,6","61,1",62,"63,6"
10,1,"57,9436","0,03552","2,0582","51,6","53,2","54,1","54,6","55,3","55,8","56,6","57,9","59,3","60,1","60,6","61,3","61,8","62,7","64,3"
11,1,"58,5816","0,0354","2,0738","52,2","53,8","54,7","55,2","55,9","56,4","57,2","58,6",60,"60,7","61,2",62,"62,5","63,4",65
12,1,"59,1922","0,0353","2,0895","52,7","54,3","55,3","55,8","56,5",57,"57,8","59,2","60,6","61,4","61,9","62,6","63,1","64,1","65,6"
13,1,"59,7773","0,0352","2,1042","53,3","54,9","55,8","56,3","57,1","57,6","58,4","59,8","61,2",62,"62,5","63,2","63,7","64,7","66,3"