Year: Month,Months,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0: 0,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
0: 1,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4
0: 2,2,12.5,13.7,15.0,16.3,17.8,19.4,21.1
0: 3,3,13.1,14.3,15.5,16.9,18.4,20.0,21.8
0: 4,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1
0: 5,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3
0: 6,6,13.6,14.7,16.0,17.3,18.8,20.5,22.3
0: 7,7,13.7,14.8,16.0,17.3,18.8,20.5,22.3
0: 8,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2
0: 9,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1
00:10,10,13.5,14.6,15.7,17.0,18.5,20.1,22.0
00:11,11,13.4,14.5,15.6,16.9,18.4,20.0,21.8
1: 0,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6
1: 1,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5
1: 2,14,13.2,14.2,15.3,16.6,18.0,19.5,21.3
1: 3,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2
1: 4,16,13.1,14.0,15.1,16.3,17.7,19.3,21.0
1: 5,17,13.0,13.9,15.0,16.2,17.6,19.1,20.9
1: 6,18,12.9,13.9,14.9,16.1,17.5,19.0,20.8
1: 7,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7
1: 8,20,12.8,13.7,14.8,16.0,17.3,18.8,20.6
1: 9,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5
01:10,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4
01:11,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3
2: 0,24,12.7,13.6,14.6,15.7,17.0,18.5,20.3
2: 0,24,12.9,13.8,14.8,16.0,17.3,18.9,20.6
2: 1,25,12.8,13.8,14.8,16.0,17.3,18.8,20.5
2: 2,26,12.8,13.7,14.8,15.9,17.3,18.8,20.5
2: 3,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4
2: 4,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4
2: 5,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3
2: 6,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2
2: 7,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2
2: 8,32,12.5,13.5,14.6,15.7,17.0,18.5,20.1
2: 9,33,12.5,13.5,14.5,15.7,17.0,18.5,20.1
02:10,34,12.5,13.4,14.5,15.7,17.0,18.4,20.0
02:11,35,12.4,13.4,14.5,15.6,16.9,18.4,20.0
3: 0,36,12.4,13.4,14.4,15.6,16.9,18.4,20.0
3: 1,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9
3: 2,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9
3: 3,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9
3: 4,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9
3: 5,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9
3: 6,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8
3: 7,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8
3: 8,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8
3: 9,45,12.2,13.1,14.2,15.4,16.7,18.2,19.8
03:10,46,12.1,13.1,14.2,15.4,16.7,18.2,19.8
03:11,47,12.1,13.1,14.2,15.3,16.7,18.2,19.9
4: 0,48,12.1,13.1,14.1,15.3,16.7,18.2,19.9
4: 1,49,12.1,13.0,14.1,15.3,16.7,18.2,19.9
4: 2,50,12.1,13.0,14.1,15.3,16.7,18.2,19.9
4: 3,51,12.1,13.0,14.1,15.3,16.6,18.2,19.9
4: 4,52,12.0,13.0,14.1,15.3,16.6,18.2,19.9
4: 5,53,12.0,13.0,14.1,15.3,16.6,18.2,20.0
4: 6,54,12.0,13.0,14.0,15.3,16.6,18.2,20.0
4: 7,55,12.0,13.0,14.0,15.2,16.6,18.2,20.0
4: 8,56,12.0,12.9,14.0,15.2,16.6,18.2,20.1
4: 9,57,12.0,12.9,14.0,15.2,16.6,18.2,20.1
04:10,58,12.0,12.9,14.0,15.2,16.6,18.3,20.2
04:11,59,12.0,12.9,14.0,15.2,16.6,18.3,20.2
5: 0,60,12.0,12.9,14.0,15.2,16.6,18.3,20.3